17-01-2023 13:36:12.444;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 13:41:12.468;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 13:46:12.491;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 13:51:12.514;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 13:56:12.538;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 14:01:12.558;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 14:06:12.580;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 14:11:12.603;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 14:16:12.624;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 14:21:12.645;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 14:24:31.778;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 4; -; M: 0 | F: 0; 
17-01-2023 14:24:44.113;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 4; 3; M: 0 | F: 0; 
17-01-2023 14:25:16.504;StatusLog;AC; NORMAL_OP; TV_ON; 4; 3; M: 0 | F: 0; 
17-01-2023 14:25:36.090;StatusLog;AC; NORMAL_OP; TV_ON; 7; 3; M: 0 | F: 0; 
17-01-2023 14:25:36.374;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 14:25:40.506;StatusLog;AC; NORMAL_OP; TV_ON; 7; 3; M: 0 | F: 0; 
17-01-2023 14:25:52.399;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 14:25:56.509;StatusLog;AC; NORMAL_OP; TV_ON; 7; 3; M: 0 | F: 0; 
17-01-2023 14:32:09.410;StatusLog;AC; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
17-01-2023 14:32:57.597;StatusLog;AC; NORMAL_OP; TV_ON; 7; 3; M: 0 | F: 0; 
17-01-2023 14:52:25.498;StatusLog;AC; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
17-01-2023 14:52:48.460;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
17-01-2023 14:52:56.647;StatusLog;AC; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
17-01-2023 14:53:24.464;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
17-01-2023 14:53:28.369;StatusLog;AC; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
17-01-2023 14:53:56.328;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
17-01-2023 14:54:08.520;StatusLog;AC; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
17-01-2023 14:57:36.452;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
